

         MODEL DEFAULTS
         --------------

Model Name:         PROJEC~1.MOD
Model Description:  BOWLING ALLEY
Output File:        UNTITLED.OUT
Output Plot Style:  NONE
Run Mode:           SINGLE_STEP
Trace Vars:         DAY,WDAY,AI,SI,B,SI,WAIT,CTIME,N,L[0],L[1],L[2],L[12],L[13],L[14],L[15],L[16],L[17],L[18],L[19],L[20],L[21],L[22],L[23
Random Number Seed: 12345
Initial Values:     0,26,0,0,0,0,0,0,0,0
Ending Condition:   STOP_ON_EVENT
Event:              END   (1 iterations)
Trace Events:       ALL EVENTS TRACED
Hide Edges:         



 Time        Event       Count       DAY         WDAY        AI          SI          B           SI          WAIT        CTIME       N           L[0]        L[1]        L[2]        L[12]       L[13]       L[14]       L[15]       L[16]       L[17]       L[18]       L[19]       L[20]       L[21]       L[22]       L[23]      
 902.569     ARRIVE      53          1           1           53          52          0           52          0.000       0.000       135         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 902.569     START       53          1           1           53          53          0           53          0.000       0.000       136         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 902.857     FINISH      30          1           1           53          53          0           53          0.000       0.000       136         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 903.409     FINISH      31          1           1           53          53          0           53          0.000       0.000       136         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 903.957     FINISH      32          1           1           53          53          0           53          0.000       0.000       136         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 906.237     ARRIVE      54          1           1           54          53          0           53          0.000       0.000       136         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 906.237     START       54          1           1           54          54          0           54          0.000       0.000       137         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 907.115     FINISH      33          1           1           54          54          0           54          0.000       0.000       137         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 910.810     FINISH      34          1           1           54          54          0           54          0.000       0.000       137         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 921.905     FINISH      35          1           1           54          54          0           54          0.000       0.000       137         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 926.340     FINISH      36          1           1           54          54          0           54          0.000       0.000       137         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 927.327     ARRIVE      55          1           1           55          54          0           54          0.000       0.000       137         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 927.327     START       55          1           1           55          55          0           55          0.000       0.000       141         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 928.193     FINISH      37          1           1           55          55          0           55          0.000       0.000       141         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 930.577     ARRIVE      56          1           1           56          55          0           55          0.000       0.000       141         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 930.577     START       56          1           1           56          56          0           56          0.000       0.000       145         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 934.157     ARRIVE      57          1           1           57          56          0           56          0.000       0.000       145         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 934.157     START       57          1           1           57          57          0           57          0.000       0.000       146         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 935.591     ARRIVE      58          1           1           58          57          0           57          0.000       0.000       146         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 935.591     START       58          1           1           58          58          0           58          0.000       0.000       147         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 936.975     FINISH      38          1           1           58          58          0           58          0.000       0.000       147         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 937.200     FINISH      39          1           1           58          58          0           58          0.000       0.000       147         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 938.083     ARRIVE      59          1           1           59          58          0           58          0.000       0.000       147         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 938.083     START       59          1           1           59          59          0           59          0.000       0.000       148         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 939.610     FINISH      40          1           1           59          59          0           59          0.000       0.000       148         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 943.739     FINISH      41          1           1           59          59          0           59          0.000       0.000       148         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 944.697     ARRIVE      60          1           1           60          59          0           59          0.000       0.000       148         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 944.697     START       60          1           1           60          60          0           60          0.000       0.000       151         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 946.580     ARRIVE      61          1           1           61          60          0           60          0.000       0.000       151         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 946.580     START       61          1           1           61          61          0           61          0.000       0.000       152         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 953.029     FINISH      42          1           1           61          61          0           61          0.000       0.000       152         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 956.006     FINISH      43          1           1           61          61          0           61          0.000       0.000       152         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 958.350     FINISH      44          1           1           61          61          0           61          0.000       0.000       152         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 958.612     ARRIVE      62          1           1           62          61          0           61          0.000       0.000       152         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 958.612     START       62          1           1           62          62          0           62          0.000       0.000       154         0           0           0           0           14          22          24          0           0           0           0           0           0           0           0           
 960.000     LANES       4           1           1           62          62          0           62          0.000       0.000       154         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 961.409     FINISH      45          1           1           62          62          0           62          0.000       0.000       154         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 962.175     ARRIVE      63          1           1           63          62          0           62          0.000       0.000       154         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 962.175     START       63          1           1           63          63          0           63          0.000       0.000       155         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 962.208     ARRIVE      64          1           1           64          63          0           63          0.000       0.000       155         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 962.208     START       64          1           1           64          64          0           64          0.000       0.000       156         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 962.365     FINISH      46          1           1           64          64          0           64          0.000       0.000       156         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 962.657     ARRIVE      65          1           1           65          64          0           64          0.000       0.000       156         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 962.657     START       65          1           1           65          65          0           65          0.000       0.000       160         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 968.694     FINISH      47          1           1           65          65          0           65          0.000       0.000       160         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 969.802     FINISH      48          1           1           65          65          0           65          0.000       0.000       160         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 969.977     FINISH      49          1           1           65          65          0           65          0.000       0.000       160         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 970.587     ARRIVE      66          1           1           66          65          0           65          0.000       0.000       160         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 970.587     START       66          1           1           66          66          0           66          0.000       0.000       162         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 976.795     FINISH      50          1           1           66          66          0           66          0.000       0.000       162         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 977.095     FINISH      51          1           1           66          66          0           66          0.000       0.000       162         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 977.585     FINISH      52          1           1           66          66          0           66          0.000       0.000       162         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 978.380     FINISH      53          1           1           66          66          0           66          0.000       0.000       162         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 981.150     ARRIVE      67          1           1           67          66          0           66          0.000       0.000       162         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 981.150     START       67          1           1           67          67          0           67          0.000       0.000       166         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 984.404     ARRIVE      68          1           1           68          67          0           67          0.000       0.000       166         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 984.404     START       68          1           1           68          68          0           68          0.000       0.000       167         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 984.948     ARRIVE      69          1           1           69          68          0           68          0.000       0.000       167         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 984.948     START       69          1           1           69          69          0           69          0.000       0.000       170         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 986.013     FINISH      54          1           1           69          69          0           69          0.000       0.000       170         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 986.349     FINISH      55          1           1           69          69          0           69          0.000       0.000       170         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 989.788     FINISH      56          1           1           69          69          0           69          0.000       0.000       170         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 991.803     FINISH      57          1           1           69          69          0           69          0.000       0.000       170         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 992.678     ARRIVE      70          1           1           70          69          0           69          0.000       0.000       170         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 992.678     START       70          1           1           70          70          0           70          0.000       0.000       172         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 997.381     ARRIVE      71          1           1           71          70          0           70          0.000       0.000       172         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 997.381     START       71          1           1           71          71          0           71          0.000       0.000       176         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 999.245     FINISH      58          1           1           71          71          0           71          0.000       0.000       176         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 1000.723    ARRIVE      72          1           1           72          71          0           71          0.000       0.000       176         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 1000.723    START       72          1           1           72          72          0           72          0.000       0.000       178         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 1004.757    ARRIVE      73          1           1           73          72          0           72          0.000       0.000       178         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 1004.757    START       73          1           1           73          73          0           73          0.000       0.000       179         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 1006.731    FINISH      59          1           1           73          73          0           73          0.000       0.000       179         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 1007.042    ARRIVE      74          1           1           74          73          0           73          0.000       0.000       179         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 1007.042    START       74          1           1           74          74          0           74          0.000       0.000       183         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 1011.341    ARRIVE      75          1           1           75          74          0           74          0.000       0.000       183         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 1011.341    START       75          1           1           75          75          0           75          0.000       0.000       184         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 1012.035    FINISH      60          1           1           75          75          0           75          0.000       0.000       184         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 1015.334    FINISH      61          1           1           75          75          0           75          0.000       0.000       184         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 1016.831    ARRIVE      76          1           1           76          75          0           75          0.000       0.000       184         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 1016.831    START       76          1           1           76          76          0           76          0.000       0.000       186         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 1019.176    FINISH      62          1           1           76          76          0           76          0.000       0.000       186         0           0           0           0           14          22          24          18          0           0           0           0           0           0           0           
 1020.000    LANES       5           1           1           76          76          0           76          0.000       0.000       186         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1025.458    ARRIVE      77          1           1           77          76          0           76          0.000       0.000       186         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1025.458    START       77          1           1           77          77          0           77          0.000       0.000       189         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1030.053    FINISH      63          1           1           77          77          0           77          0.000       0.000       189         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1032.810    ARRIVE      78          1           1           78          77          0           77          0.000       0.000       189         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1032.810    START       78          1           1           78          78          0           78          0.000       0.000       192         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1033.077    FINISH      64          1           1           78          78          0           78          0.000       0.000       192         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1037.543    ARRIVE      79          1           1           79          78          0           78          0.000       0.000       192         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1037.543    START       79          1           1           79          79          0           79          0.000       0.000       196         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1037.679    FINISH      65          1           1           79          79          0           79          0.000       0.000       196         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1038.672    ARRIVE      80          1           1           80          79          0           79          0.000       0.000       196         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1038.672    START       80          1           1           80          80          0           80          0.000       0.000       200         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1038.708    FINISH      66          1           1           80          80          0           80          0.000       0.000       200         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1044.054    ARRIVE      81          1           1           81          80          0           80          0.000       0.000       200         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1044.054    START       81          1           1           81          81          0           81          0.000       0.000       201         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1046.074    ARRIVE      82          1           1           82          81          0           81          0.000       0.000       201         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1046.074    START       82          1           1           82          82          0           82          0.000       0.000       202         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1047.601    ARRIVE      83          1           1           83          82          0           82          0.000       0.000       202         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1047.601    START       83          1           1           83          83          0           83          0.000       0.000       203         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1051.498    ARRIVE      84          1           1           84          83          0           83          0.000       0.000       203         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1051.498    START       84          1           1           84          84          0           84          0.000       0.000       206         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1051.548    ARRIVE      85          1           1           85          84          0           84          0.000       0.000       206         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1051.548    START       85          1           1           85          85          0           85          0.000       0.000       210         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1054.367    ARRIVE      86          1           1           86          85          0           85          0.000       0.000       210         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1054.367    START       86          1           1           86          86          0           86          0.000       0.000       214         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1054.535    ARRIVE      87          1           1           87          86          0           86          0.000       0.000       214         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1054.535    START       87          1           1           87          87          0           87          0.000       0.000       217         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1056.348    FINISH      67          1           1           87          87          0           87          0.000       0.000       217         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1056.548    FINISH      68          1           1           87          87          0           87          0.000       0.000       217         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1058.680    ARRIVE      88          1           1           88          87          0           87          0.000       0.000       217         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1058.680    START       88          1           1           88          88          0           88          0.000       0.000       219         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1059.470    FINISH      69          1           1           88          88          0           88          0.000       0.000       219         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1060.119    ARRIVE      89          1           1           89          88          0           88          0.000       0.000       219         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1060.119    START       89          1           1           89          89          0           89          0.000       0.000       221         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1063.353    ARRIVE      90          1           1           90          89          0           89          0.000       0.000       221         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1063.353    START       90          1           1           90          90          0           90          0.000       0.000       222         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1067.640    FINISH      70          1           1           90          90          0           90          0.000       0.000       222         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1070.598    FINISH      71          1           1           90          90          0           90          0.000       0.000       222         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1073.371    FINISH      72          1           1           90          90          0           90          0.000       0.000       222         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1073.693    ARRIVE      91          1           1           91          90          0           90          0.000       0.000       222         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1073.693    START       91          1           1           91          91          0           91          0.000       0.000       223         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1074.697    FINISH      73          1           1           91          91          0           91          0.000       0.000       223         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1075.474    ARRIVE      92          1           1           92          91          0           91          0.000       0.000       223         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1075.474    START       92          1           1           92          92          0           92          0.000       0.000       226         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1077.606    FINISH      74          1           1           92          92          0           92          0.000       0.000       226         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1077.617    FINISH      75          1           1           92          92          0           92          0.000       0.000       226         0           0           0           0           14          22          24          18          14          0           0           0           0           0           0           
 1080.000    LANES       6           1           1           92          92          0           92          0.000       0.000       226         0           0           0           0           14          22          24          18          14          17          0           0           0           0           0           
 1082.715    FINISH      76          1           1           92          92          0           92          0.000       0.000       226         0           0           0           0           14          22          24          18          14          17          0           0           0           0           0           
 1083.196    ARRIVE      93          1           1           93          92          0           92          0.000       0.000       226         0           0           0           0           14          22          24          18          14          17          0           0           0           0           0           
 1083.196    START       93          1           1           93          93          0           93          0.000       0.000       228         0           0           0           0           14          22          24          18          14          17          0           0           0           0           0           
 1084.340    ARRIVE      94          1           1           94          93          0           93          0.000       0.000       228         0           0           0           0           14          22          24          18          14          17          0           0           0           0           0           
 1084.340    START       94          1           1           94          94          0           94          0.000       0.000       232         0           0           0           0           14          22          24          18          14          17          0           0           0           0           0           
 1085.648    FINISH      77          1           1           94          94          0           94          0.000       0.000       232         0           0           0           0           14          22          24          18          14          17          0           0           0           0           0           
 1088.086    ARRIVE      95          1           1           95          94          0           94          0.000       0.000       232         0           0           0           0           14          22          24          18          14          17          0           0           0           0           0           
 1088.086    START       95          1           1           95          95          0           95          0.000       0.000       233         0           0           0           0           14          22          24          18          14          17          0           0           0           0           0           
 1091.708    ARRIVE      96          1           1           96          95          0           95          0.000       0.000       233         0           0           0           0           14          22          24          18          14          17          0           0           0           0           0           
