 Time        Event       Count       SI          B           WAIT        CTIME       N           WDAY        L[0]        L[1]        L[2]        L[12]       L[13]       L[14]       L[15]       L[16]       L[17]       L[18]       L[19]       L[20]       L[21]       L[22]       L[23]      
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 10740.000   END         1           1100        100         18190.378   973.852     2877        7           68          19          0           6           88          124         125         124         126         125         126         124         121         121         126         
 10740.000   END         1           1077        95          16669.960   1005.031    2824        7           57          21          0           6           86          115         123         124         126         125         126         124         125         120         119         
 10740.000   END         1           1097        107         17031.687   872.709     2871        7           63          12          0           6           103         126         126         124         120         126         121         126         125         126         126         
 10740.000   END         1           1091        107         16858.644   908.490     2826        7           67          10          0           6           102         120         116         124         126         125         122         126         123         121         124         
 10740.000   END         1           1079        88          15552.949   1069.564    2872        7           88          18          0           6           95          116         120         120         122         120         121         121         124         126         126         
 10740.000   END         1           1094        112         17161.480   974.961     2845        7           72          17          0           6           86          120         123         120         123         124         124         123         123         123         126         
 10740.000   END         1           1085        94          14382.995   948.182     2751        7           50          15          0           6           83          121         126         118         117         123         125         119         125         124         116         
 10740.000   END         1           1069        98          17625.896   980.153     2818        7           68          13          0           6           86          124         117         113         125         126         122         120         119         126         126         
 10740.000   END         1           1053        79          15931.296   907.328     2750        7           54          8           0           6           88          118         123         124         117         121         126         122         119         123         117         
 10740.000   END         1           1053        79          15931.296   907.328     2750        7           54          8           0           6           88          118         123         124         117         121         126         122         119         123         117         
 10740.000   END         1           1064        57          13985.906   863.139     2749        7           49          12          0           6           80          120         117         126         126         123         126         126         124         114         110         
 10740.000   END         1           1055        126         15705.031   1058.572    2730        7           73          20          1           6           93          103         110         123         124         115         116         122         120         120         120         
 10740.000   END         1           1096        87          16099.547   902.640     2804        7           62          13          0           6           92          124         115         121         123         123         126         124         126         126         120         
 10740.000   END         1           1079        93          17604.445   958.499     2830        7           68          9           0           6           93          120         120         122         126         126         126         126         126         124         126         
 10740.000   END         1           1035        40          10808.763   864.645     2718        7           46          3           0           6           96          111         108         115         115         120         119         123         126         122         124         
 10740.000   END         1           1070        86          15637.389   988.445     2812        7           68          19          0           6           94          118         119         119         119         122         124         123         126         120         124         
 10740.000   END         1           1050        105         15918.881   949.843     2778        7           64          8           0           6           91          116         118         124         125         124         123         124         120         122         121         
 10740.000   END         1           1094        67          14715.754   984.999     2839        7           59          14          0           6           104         126         124         126         125         123         120         116         124         124         120         
 10740.000   END         1           1052        76          14368.194   968.776     2785        7           60          14          1           6           81          122         120         117         122         118         123         124         124         123         120         
 10740.000   END         1           1089        109         16606.412   944.553     2874        7           70          19          0           6           114         124         117         119         116         125         125         126         122         124         126         
 10740.000   END         1           1098        97          17630.638   986.386     2861        7           66          19          0           6           89          119         118         126         121         126         125         126         120         126         124         
 10740.000   END         1           1057        142         19830.429   986.809     2828        7           65          17          1           6           91          121         120         126         126         126         125         121         124         124         118         
 10740.000   END         1           1059        99          17086.937   961.690     2801        7           61          13          0           6           95          122         124         126         126         126         126         118         117         123         119         
 10740.000   END         1           1104        90          16542.015   1020.191    2867        7           82          22          1           6           101         122         121         123         116         122         123         120         126         126         126         
 10740.000   END         1           1070        52          11131.577   956.343     2788        7           69          15          0           6           103         120         110         117         120         116         124         119         119         121         122         
 10740.000   END         1           1061        68          13674.487   987.166     2784        7           68          17          1           6           86          102         112         123         121         121         122         125         123         126         125         
 10740.000   END         1           1082        106         18230.496   1024.389    2841        7           62          15          0           6           90          111         123         121         126         120         126         126         126         126         124         
 10740.000   END         1           1077        114         19907.115   971.895     2842        7           62          11          0           6           96          126         124         121         121         121         126         125         126         125         124         
 10740.000   END         1           1080        82          16192.764   993.053     2817        7           62          17          0           6           88          121         125         124         126         126         124         120         122         125         118         
 10740.000   END         1           1097        140         20174.373   1031.414    2902        7           80          20          0           6           91          119         124         124         124         112         126         126         126         124         126         














