 Time        Event       Count       SI          B           WAIT        CTIME       N           WDAY        L[0]        L[1]        L[2]        L[12]       L[13]       L[14]       L[15]       L[16]       L[17]       L[18]       L[19]       L[20]       L[21]       L[22]       L[23]      
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 10740.000   END         1           1120        0           209.287     873.102     2909        7           52          6           0           6           92          130         129         105         126         142         137         142         142         113         134         
 10740.000   END         1           1174        3           638.947     809.960     3033        7           42          3           0           6           96          134         135         137         145         140         134         124         143         148         131         
 10740.000   END         1           1214        2           746.136     806.680     3105        7           35          2           0           6           82          131         138         139         136         151         149         138         150         147         133         
 10740.000   END         1           1106        0           532.630     893.885     2899        7           51          11          0           6           82          120         136         157         130         114         125         126         124         135         136         
 10740.000   END         1           1183        3           788.487     789.337     3047        7           49          2           0           6           94          131         136         126         142         136         127         153         143         140         153         
 10740.000   END         1           1170        1           649.992     852.872     3010        7           52          8           0           6           83          116         139         133         151         151         136         146         136         131         135         
 10740.000   END         1           1145        1           1048.068    786.673     2987        7           47          2           0           6           87          133         141         123         135         138         140         137         136         126         136         
 10740.000   END         1           1187        1           1686.576    800.285     3095        7           39          4           0           6           90          127         121         147         160         157         156         143         146         131         117         
 10740.000   END         1           1089        0           106.573     799.993     2859        7           43          6           0           6           93          124         117         138         127         124         144         141         127         123         131         
 10740.000   END         1           1135        0           538.173     784.543     2901        7           45          5           0           6           100         120         131         131         139         140         132         130         129         112         121         
 10740.000   END         1           1166        0           421.803     859.426     3088        7           60          7           0           6           81          139         133         131         148         136         125         135         143         145         149         
 10740.000   END         1           1135        1           820.470     861.250     2928        7           58          5           0           6           90          106         129         135         133         127         123         134         160         129         126         
 10740.000   END         1           1167        0           1122.800    831.416     3066        7           48          5           0           6           100         138         141         141         144         147         150         132         137         126         135         
 10740.000   END         1           1186        2           827.102     856.485     3102        7           39          5           0           6           98          139         141         139         139         130         160         153         151         140         111         
 10740.000   END         1           1073        1           257.594     896.207     2822        7           43          8           0           6           89          107         119         123         138         126         109         136         135         139         131         
 10740.000   END         1           1128        1           850.478     851.811     2984        7           51          5           0           6           78          131         150         124         114         122         123         134         147         144         147         
 10740.000   END         1           1148        1           777.460     794.682     3015        7           41          4           0           6           83          133         143         148         140         123         122         136         152         137         121         
 10740.000   END         1           1172        0           547.489     748.503     3018        7           40          1           0           6           88          140         158         140         140         147         139         131         117         136         140         
 10740.000   END         1           1163        0           572.195     877.663     2993        7           46          7           0           6           104         136         127         144         150         152         131         131         111         105         125         
 10740.000   END         1           1181        1           833.937     765.604     3069        7           48          2           0           6           94          129         130         142         139         144         141         130         139         150         147         
 10740.000   END         1           1181        1           833.937     765.604     3069        7           48          2           0           6           94          129         130         142         139         144         141         130         139         150         147         
 10740.000   END         1           1213        1           1254.155    868.947     3130        7           50          12          0           6           93          146         145         156         147         129         112         143         146         146         136         
 10740.000   END         1           1179        5           2050.667    815.928     3043        7           42          4           0           6           84          136         149         143         123         141         145         142         141         144         127         
 10740.000   END         1           1139        18          1801.717    856.138     3009        7           60          7           0           6           96          128         123         133         140         139         126         135         126         130         155         
 10740.000   END         1           1153        0           689.128     867.543     2937        7           48          6           0           6           78          124         116         131         142         130         130         150         141         137         140         
 10740.000   END         1           1153        0           348.272     819.719     2934        7           52          5           0           6           95          133         139         147         147         133         118         109         131         135         126         
 10740.000   END         1           1139        0           725.575     838.202     2961        7           46          7           0           6           98          118         148         124         141         139         125         125         130         137         136         
 10740.000   END         1           1156        0           617.848     783.428     3037        7           53          3           0           6           87          125         128         149         154         127         150         127         135         141         144         
 10740.000   END         1           1179        0           236.908     861.653     3028        7           35          5           0           6           102         139         138         141         118         126         144         132         150         139         124         
 10740.000   END         1           1173        2           1334.437    930.767     3094        7           65          10          0           6           86          127         130         132         129         139         142         140         136         138         157         

















