 Time        Event       Count       SI          B           WAIT        CTIME       N           WDAY        L[0]        L[1]        L[2]        L[12]       L[13]       L[14]       L[15]       L[16]       L[17]       L[18]       L[19]       L[20]       L[21]       L[22]       L[23]      
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 10740.000   END         1           1001        180         24792.853   1022.259    2631        7           77          20          1           6           87          110         108         112         112         112         111         112         112         112         111         
 10740.000   END         1           1012        155         21650.421   1031.457    2575        7           68          14          0           6           94          109         107         112         111         112         112         112         112         112         112         
 10740.000   END         1           990         195         25442.804   1065.874    2623        7           73          17          1           6           89          110         112         112         112         112         112         112         112         112         112   
 10740.000   END         1           995         202         26167.123   1102.515    2639        7           80          27          0           6           77          105         112         112         112         112         112         112         111         112         112         
 10740.000   END         1           1007        179         25235.976   1061.114    2658        7           78          23          1           6           103         111         112         112         110         110         112         112         112         112         112    
 10740.000   END         1           1008        140         20242.882   1011.854    2593        7           77          15          2           6           87          97          105         106         112         111         112         110         112         112         112        
 10740.000   END         1           990         154         23799.453   1035.402    2612        7           75          21          1           6           90          107         112         112         110         106         112         112         112         112         112         
 10740.000   END         1           989         141         20286.984   1126.496    2590        7           74          24          2           6           88          100         100         112         108         112         109         112         111         112         112         
 10740.000   END         1           977         181         21809.578   1022.306    2585        7           72          21          0           6           85          104         107         111         112         111         112         109         112         110         112         
 10740.000   END         1           1002        180         23025.109   1157.684    2595        7           73          26          2           6           85          106         108         107         105         112         110         111         112         112         112         
 10740.000   END         1           1012        210         26374.566   1022.039    2615        7           66          18          2           6           84          111         112         111         112         112         112         112         112         112         112         
 10740.000   END         1           1005        129         18537.597   951.623     2569        7           73          13          0           6           102         102         105         108         112         112         109         112         107         108         107         
 10740.000   END         1           1016        179         24310.347   1055.335    2598        7           71          17          2           6           97          102         109         109         109         112         111         110         112         112         112         
 10740.000   END         1           997         165         24315.410   973.031     2599        7           63          16          1           6           108         111         112         112         112         112         112         112         112         109         110         
 10740.000   END         1           987         67          17313.851   899.281     2550        7           53          10          0           6           102         111         109         112         111         106         112         107         112         107         103         
 10740.000   END         1           997         185         26138.453   1157.423    2636        7           89          26          1           6           76          109         106         110         112         112         112         112         112         112         112         
 10740.000   END         1           985         251         28488.695   1074.472    2627        7           70          22          1           6           84          111         112         111         112         112         112         112         112         112         112         
 10740.000   END         1           1003        226         26756.746   1060.311    2636        7           66          18          1           6           93          111         112         112         112         112         112         112         112         112         112         
 10740.000   END         1           1004        129         20323.453   992.003     2607        7           68          17          0           6           99          112         110         111         108         109         112         111         112         108         112         
 10740.000   END         1           997         118         18094.691   1029.651    2557        7           73          20          0           6           80          99          109         108         109         103         108         111         111         109         112         
 10740.000   END         1           1025        176         23484.546   1118.092    2636        7           70          25          3           6           86          109         107         112         112         112         112         112         112         111         112         
 10740.000   END         1           1016        192         25739.214   1051.273    2627        7           68          22          1           6           102         111         112         112         112         112         112         112         112         112         108         
 10740.000   END         1           1008        154         22100.085   964.556     2579        7           68          18          0           6           92          108         112         112         109         112         112         112         109         107         112         
 10740.000   END         1           1003        173         24859.339   1037.252    2642        7           78          19          0           6           99          108         112         112         112         112         112         112         112         112         112         
 10740.000   END         1           1009        143         21872.542   1067.568    2609        7           75          29          1           6           93          107         108         106         109         112         110         112         112         112         112         
 10740.000   END         1           1003        126         20366.136   1056.435    2576        7           73          17          1           6           93          112         106         99          100         112         112         112         112         112         112         
 10740.000   END         1           1009        159         23244.216   993.336     2624        7           78          15          0           6           89          99          109         111         112         112         111         112         111         112         112         
 10740.000   END         1           973         208         26354.453   1037.100    2619        7           68          18          1           6           86          110         107         110         112         112         112         112         112         112         111         
 10740.000   END         1           973         208         26354.453   1037.100    2619        7           68          18          1           6           86          110         107         110         112         112         112         112         112         112         111         
 10740.000   END         1           973         208         26354.453   1037.100    2619        7           68          18          1           6           86          110         107         110         112         112         112         112         112         112         111         







      
